destination_state_1789_fr,cargo_standardized_fr,nb_ships,sum_tonnage,nb_ships2,sum_tonnage_per_product
Autriche,Café,15,593.0,15,252.33333333333334
Autriche,Coton,1,55.0,1,18.333333333333332
Autriche,Diverses marchandises,34,2076.0,34,895.1666666666666
Autriche,Eau-de-vie,2,280.0,2,280.0
Autriche,Fruits,7,840.0,7,301.6666666666667
Autriche,Graines de lin,3,80.0,3,70.0
Autriche,Huile,8,852.0,8,328.6666666666667
Autriche,Laine,2,86.0,2,43.0
Autriche,Peaux de boeuf,1,20.0,1,10.0
Autriche,Sel,19,679.0,19,471.6666666666667
Autriche,Sucre,22,936.0,22,574.3333333333334
Autriche,Vin,9,370.0,9,161.33333333333334
Autriche,cuir,1,40.0,1,20.0
Autriche,cuirs,3,145.0,3,48.333333333333336
Autriche,marbre,1,75.0,1,37.5
Autriche,marbres,1,180.0,1,180.0
Autriche,restant de son chargement,2,240.0,2,240.0
Autriche,restant de son chargement qu’il a apporté ici,1,44.0,1,44.0
Autriche,saumon,1,60.0,1,30.0
Autriche,saumons,2,72.0,2,20.666666666666664
Autriche,tabac,3,60.0,3,26.666666666666668
Autriche,tabac faisant restant de son chargement,1,74.0,1,74.0
Autriche,taffia,1,55.0,1,18.333333333333332
Brême,cottes de tabac,1,70.0,1,70.0
Danemark,Diverses marchandises,5,129.0,5,58.666666666666664
Danemark,figues,1,35.0,1,11.666666666666666
Danemark,genevre,4,122.0,4,61.0
Danemark,raisins,1,35.0,1,11.666666666666666
Danemark,tabac,1,40.0,1,20.0
Danemark,taffias,1,12.0,1,6.0
Espagne,Avoine,3,390.0,3,390.0
Espagne,Blé,3,445.0,3,287.5
Espagne,Diverses marchandises,1,120.0,1,40.0
Espagne,Farine,1,200.0,1,100.0
Espagne,Orge,1,108.0,1,108.0
Espagne,balloteries,1,115.0,1,57.5
Espagne,genevre,1,120.0,1,40.0
Espagne,toile,1,120.0,1,40.0
Etats-Unis d'Amérique,Charbon,1,350.0,1,175.0
Etats-Unis d'Amérique,Diverses marchandises,1,350.0,1,175.0
Hambourg,Diverses marchandises,1,170.0,1,56.666666666666664
Hambourg,Vin,1,170.0,1,56.666666666666664
Hambourg,tabac,3,435.0,3,321.6666666666667
Portugal,Bois,1,240.0,1,240.0
Portugal,Diverses marchandises,1,25.0,1,12.5
Portugal,Eau-de-vie,2,430.0,2,280.0
Portugal,genevre,1,25.0,1,12.5
Portugal,mousseline,4,100.0,4,100.0
Provinces-Unies,Blé,2,125.0,2,125.0
Provinces-Unies,Café,25,1713.0,25,1014.6666666666666
Provinces-Unies,Diverses marchandises,27,1549.0,27,733.6666666666666
Provinces-Unies,Eau-de-vie,1,270.0,1,270.0
Provinces-Unies,Futailles vides,6,366.0,6,193.0
Provinces-Unies,Fèves,1,60.0,1,60.0
Provinces-Unies,Huile,1,50.0,1,16.666666666666668
Provinces-Unies,Orge,3,180.0,3,180.0
Provinces-Unies,Sucre,41,2642.0,41,1798.3333333333333
Provinces-Unies,Vin,5,230.0,5,163.33333333333334
Provinces-Unies,amidon,1,60.0,1,30.0
Provinces-Unies,azur,1,80.0,1,40.0
Provinces-Unies,cottes de tabac,1,92.0,1,46.0
Provinces-Unies,cuir,1,50.0,1,25.0
Provinces-Unies,huille de térbantine,1,100.0,1,50.0
Provinces-Unies,ozier,2,178.0,2,89.0
Provinces-Unies,panier,1,40.0,1,13.333333333333334
Provinces-Unies,tabac,18,1088.0,18,690.0
Provinces-Unies,tabac restant de la cargaison,1,70.0,1,70.0
République de Gênes,Diverses marchandises,1,200.0,1,100.0
République de Gênes,tabac,1,200.0,1,100.0
Suède,genevre,1,12.0,1,12.0
Suède,restant de sa cargaison pris à croisic de caffé et de vin,1,150.0,1,150.0
Toscane,Diverses marchandises,2,280.0,2,115.0
Toscane,cloux,1,150.0,1,50.0
Toscane,tabac,3,480.0,3,315.0
